,HERE_address,Latitude,Longitude,schs_1km,schs_2km,sap_sch_1km,sap_sch_2km,autonomous_sch_1km,autonomous_sch_2km,gifted_sch_1km,gifted_sch_2km,ip_sch_1km,ip_sch_2km,hawker_1km,hawker_2km,supermarket_1km,supermarket_2km
25845,7 TOH YI DR Singapore,1.33749,103.77487,2,3,1,1,0,0,0,0,0,0,1,1,5,9
25851,10 JLN KUKOH Singapore,1.28679,103.83907,2,8,0,0,0,0,0,0,0,0,6,14,9,37
25856,635 VEERASAMY RD Singapore,1.3067799999999998,103.8554,2,8,0,1,0,0,0,0,0,0,4,10,9,29
25865,264 WATERLOO ST Singapore,1.2990000000000002,103.85173,3,6,0,0,0,0,0,0,0,0,2,11,7,30
25875,533 UPP CROSS ST Singapore,1.28425,103.84558,1,4,0,0,0,0,0,0,0,0,8,11,13,31
25886,671B KLANG LANE Singapore,1.30864,103.85248,3,8,0,1,0,0,0,0,0,0,4,10,8,32
25897,106 TECK WHYE LANE Singapore,1.37814,103.75287,4,24,0,0,0,1,0,0,0,0,0,0,7,18
25908,1 TECK WHYE AVE Singapore,1.38234,103.75181,5,21,0,0,0,1,0,0,0,0,0,0,8,19
25918,3 TECK WHYE AVE Singapore,1.38228,103.75242,5,21,0,0,0,1,0,0,0,0,0,0,7,19
25933,104 TECK WHYE LANE Singapore,1.3772799999999998,103.75298,4,25,0,0,0,1,0,0,0,0,0,0,7,18
25936,113 TECK WHYE LANE Singapore,1.3782,103.75075,5,19,0,0,0,1,0,0,0,0,0,0,7,18
25943,237 CHOA CHU KANG CTRL Singapore,1.37933,103.74825,5,19,0,0,0,1,0,0,0,0,0,0,8,19
25952,151 JLN TECK WHYE Singapore,1.37859,103.75721,5,22,0,0,0,0,0,0,0,0,0,1,9,22
25966,425 CHOA CHU KANG AVE 4 Singapore,1.38111,103.73956,5,12,0,0,1,1,0,0,0,0,0,0,4,13
25980,687B CHOA CHU KANG DR Singapore,1.40411,103.75086,3,7,0,0,0,0,0,0,0,0,0,0,3,6
25991,543 CHOA CHU KANG ST 52 Singapore,1.39383,103.74421,6,16,0,0,0,1,0,0,0,0,0,0,4,10
25995,692B CHOA CHU KANG CRES Singapore,1.40069,103.75114,5,10,0,0,0,0,0,0,0,0,0,0,2,8
26026,469 CHOA CHU KANG AVE 3 Singapore,1.37782,103.73762,4,11,0,0,1,1,0,0,0,0,0,0,3,12
26036,611 CHOA CHU KANG ST 62 Singapore,1.39961,103.74371,5,7,0,0,0,0,0,0,0,0,0,0,3,5
26041,281 CHOA CHU KANG AVE 3 Singapore,1.3803,103.74234,5,15,0,0,1,1,0,0,0,0,0,0,6,14
26051,276 CHOA CHU KANG AVE 2 Singapore,1.37947,103.74436,6,17,0,0,1,1,0,0,0,0,0,0,8,16
26053,433 CHOA CHU KANG AVE 4 Singapore,1.38502,103.74146,6,14,0,0,1,1,0,0,0,0,0,0,5,12
26063,792 CHOA CHU KANG NTH 6 Singapore,1.3953,103.7493,6,17,0,0,0,1,0,0,0,0,0,0,3,13
26068,569 CHOA CHU KANG ST 52 Singapore,1.3962,103.74641,7,14,0,0,0,1,0,0,0,0,0,0,3,11
26074,340 CHOA CHU KANG LOOP Singapore,1.38418,103.74567,7,16,0,0,1,1,0,0,0,0,0,0,7,15
26081,217 CHOA CHU KANG CTRL Singapore,1.38321,103.74664,8,16,0,0,1,1,0,0,0,0,0,0,7,18
26088,638 CHOA CHU KANG ST 64 Singapore,1.3975799999999998,103.74836,6,12,0,0,0,0,0,0,0,0,0,0,3,9
26093,680 CHOA CHU KANG CRES Singapore,1.40366,103.74479,2,7,0,0,0,0,0,0,0,0,0,0,2,6
26109,13 TECK WHYE LANE Singapore,1.37892,103.75535,4,23,0,0,0,1,0,0,0,0,0,1,9,22
26122,484B CHOA CHU KANG AVE 5 Singapore,1.37532,103.73689,4,10,0,0,1,1,0,0,0,0,0,0,3,12
26135,248 CHOA CHU KANG AVE 2 Singapore,1.37916,103.74598,6,17,0,0,1,1,0,0,0,0,0,0,9,17
26141,423 CHOA CHU KANG AVE 4 Singapore,1.38192,103.7404,6,12,0,0,1,1,0,0,0,0,0,0,4,13
26149,690D CHOA CHU KANG CRES Singapore,1.40241,103.75183,3,8,0,0,0,0,0,0,0,0,0,0,3,6
26171,687D CHOA CHU KANG DR Singapore,1.40374,103.75146,3,7,0,0,0,0,0,0,0,0,0,0,3,6
26186,550 CHOA CHU KANG ST 52 Singapore,1.39418,103.74297,6,15,0,0,0,1,0,0,0,0,0,0,3,10
26193,156 JLN TECK WHYE Singapore,1.37869,103.75656,5,22,0,0,0,0,0,0,0,0,0,1,9,22
26199,470 CHOA CHU KANG AVE 3 Singapore,1.37803,103.73682,4,10,0,0,1,1,0,0,0,0,0,0,3,12
26212,658 CHOA CHU KANG CRES Singapore,1.4005,103.74927,6,10,0,0,0,0,0,0,0,0,0,0,2,7
26219,665 CHOA CHU KANG CRES Singapore,1.40184,103.75008,5,8,0,0,0,0,0,0,0,0,0,0,2,7
26229,770 CHOA CHU KANG ST 54 Singapore,1.3948,103.75069,6,17,0,0,0,1,0,0,0,0,0,0,3,14
26240,607 CHOA CHU KANG ST 62 Singapore,1.39909,103.74443,6,12,0,0,0,1,0,0,0,0,0,0,3,7
26248,564 CHOA CHU KANG ST 52 Singapore,1.39522,103.74545,7,16,0,0,0,1,0,0,0,0,0,0,3,10
26250,511 CHOA CHU KANG ST 51 Singapore,1.38931,103.74107,5,15,0,0,1,1,0,0,0,0,0,0,3,12
26257,305 CHOA CHU KANG AVE 4 Singapore,1.38437,103.74304,7,16,0,0,1,1,0,0,0,0,0,0,5,14
26260,784 CHOA CHU KANG DR Singapore,1.395,103.74733,7,15,0,0,0,1,0,0,0,0,0,0,3,13
26264,618 CHOA CHU KANG NTH 7 Singapore,1.40038,103.74667,6,9,0,0,0,0,0,0,0,0,0,0,2,7
26271,632 CHOA CHU KANG NTH 6 Singapore,1.39646,103.74858,6,15,0,0,0,1,0,0,0,0,0,0,3,11
26282,343 CHOA CHU KANG LOOP Singapore,1.38344,103.74541,7,16,0,0,1,1,0,0,0,0,0,0,8,15
26288,273 CHOA CHU KANG AVE 2 Singapore,1.37922,103.74284,5,16,0,0,1,1,0,0,0,0,0,0,6,13
26293,602 CHOA CHU KANG ST 62 Singapore,1.39715,103.7445,7,13,0,0,0,1,0,0,0,0,0,0,3,7
26297,662 CHOA CHU KANG CRES Singapore,1.40165,103.75065,5,8,0,0,0,0,0,0,0,0,0,0,2,7
26301,759 CHOA CHU KANG NTH 5 Singapore,1.39327,103.74651,6,17,0,0,0,1,0,0,0,0,0,0,4,12
26312,601 CHOA CHU KANG ST 62 Singapore,1.39709,103.74476,7,14,0,0,0,1,0,0,0,0,0,0,3,7
26315,768 CHOA CHU KANG ST 54 Singapore,1.39402,103.75009,5,17,0,0,0,1,0,0,0,0,0,0,3,15
26320,635 CHOA CHU KANG NTH 6 Singapore,1.3974799999999998,103.74941,6,13,0,0,0,0,0,0,0,0,0,0,3,10
26328,506 WEST COAST DR Singapore,1.31189,103.76067,7,12,2,2,1,2,1,1,0,1,4,5,4,13
26341,507 WEST COAST DR Singapore,1.31186,103.76074,7,12,2,2,1,2,1,1,0,1,4,5,4,13
26359,728 CLEMENTI WEST ST 2 Singapore,1.30526,103.76356,4,12,1,2,1,1,0,2,1,2,4,5,7,11
26380,508 WEST COAST DR Singapore,1.31148,103.76169,7,12,2,2,1,2,1,1,0,1,4,5,6,13
26394,730 CLEMENTI WEST ST 2 Singapore,1.30445,103.76308,4,12,1,2,1,1,0,2,1,2,4,5,7,11
26405,334 CLEMENTI AVE 2 Singapore,1.31493,103.76836,8,13,2,2,1,1,1,3,1,2,2,5,8,18
26415,518 WEST COAST RD Singapore,1.30838,103.75912,4,12,0,2,0,2,0,1,0,1,4,5,6,13
26424,329 CLEMENTI AVE 2 Singapore,1.31329,103.76758,8,13,2,2,1,1,1,3,1,2,4,5,7,17
26439,379 CLEMENTI AVE 5 Singapore,1.3178,103.76805,5,12,1,2,0,1,1,2,0,1,2,5,8,16
26447,105 CLEMENTI ST 12 Singapore,1.32247,103.76977,2,13,1,3,0,1,1,2,0,1,1,4,5,12
26451,716 CLEMENTI WEST ST 2 Singapore,1.30238,103.7626,4,12,1,2,1,1,0,2,1,2,1,5,4,11
26468,410 C'WEALTH AVE WEST Singapore,1.31128,103.76976,7,14,1,2,1,2,0,3,1,2,2,5,8,19
26474,380 CLEMENTI AVE 5 Singapore,1.31834,103.76779,5,12,1,2,0,1,1,2,0,1,2,5,8,15
26475,460 CLEMENTI AVE 3 Singapore,1.31096,103.76691,8,12,1,2,1,1,0,2,1,2,5,5,9,17
26484,118 CLEMENTI ST 13 Singapore,1.3247,103.7719,0,10,0,3,0,1,0,2,0,0,0,4,4,15
26492,70 CIRCUIT RD Singapore,1.32564,103.88802,1,10,0,2,0,1,0,0,0,1,4,9,5,29
26499,34 CIRCUIT RD Singapore,1.3288799999999998,103.88765,1,11,0,3,0,2,0,0,0,1,4,7,7,25
26511,49 CIRCUIT RD Singapore,1.32562,103.88542,3,10,0,3,0,2,0,0,0,1,4,10,5,29
26531,37 CIRCUIT RD Singapore,1.32838,103.88656,1,10,0,3,0,2,0,0,0,1,4,8,6,28
26540,19 BALAM RD Singapore,1.33099,103.88737,1,9,0,2,0,2,0,0,0,1,3,7,7,22
26550,47 CIRCUIT RD Singapore,1.32562,103.88535,3,10,0,3,0,2,0,0,0,1,4,10,5,29
26560,57 CIRCUIT RD Singapore,1.32455,103.88658,3,11,0,2,0,1,0,0,0,1,4,11,5,31
26574,40 CIRCUIT RD Singapore,1.32775,103.88562,1,10,0,3,0,2,0,0,0,1,4,8,6,28
26590,59 CIRCUIT RD Singapore,1.32514,103.88723,3,10,0,2,0,1,0,0,0,1,4,10,5,31
26601,20 EUNOS CRES Singapore,1.32408,103.90338,3,8,1,1,0,2,0,0,0,0,1,8,4,23
26613,97 ALJUNIED CRES Singapore,1.32149,103.88596,3,12,0,3,0,4,0,0,0,1,5,11,10,32
26625,112 ALJUNIED CRES Singapore,1.32062,103.88505,3,10,0,2,0,4,0,0,0,1,5,11,9,30
26640,95 ALJUNIED CRES Singapore,1.32129,103.8863,3,12,0,3,0,4,0,0,0,1,5,12,11,33
26648,343 UBI AVE 1 Singapore,1.3263200000000002,103.90044,3,5,1,1,0,1,0,0,0,0,1,9,2,25
26656,301 UBI AVE 1 Singapore,1.33071,103.90174,3,4,1,1,0,0,0,0,0,0,0,8,2,23
26668,122 GEYLANG EAST CTRL Singapore,1.31786,103.88496,3,9,1,3,0,4,0,1,0,1,4,12,10,31
26675,127 GEYLANG EAST AVE 1 Singapore,1.318,103.88763,3,10,1,3,0,3,0,0,0,0,5,14,12,33
26678,10 EUNOS CRES Singapore,1.32254,103.9027,3,7,1,1,0,2,0,0,0,0,2,8,7,26
26697,11 PINE CL Singapore,1.30801,103.8829,3,8,2,3,1,4,1,1,1,1,3,9,11,28
26711,2A GEYLANG SERAI Singapore,1.3172,103.89748,1,11,0,3,1,3,0,0,0,0,4,11,11,35
26725,32 EUNOS CRES Singapore,1.32019,103.90137,3,11,1,3,0,3,0,0,0,0,3,8,10,29
26739,35 EUNOS CRES Singapore,1.32122,103.90135,3,10,1,2,0,2,0,0,0,0,3,9,8,29
26755,33 EUNOS CRES Singapore,1.32007,103.90083,3,11,1,3,0,3,0,0,0,0,3,8,10,30
26774,27 BALAM RD Singapore,1.3304200000000002,103.88601,1,9,0,2,0,2,0,0,0,1,3,7,9,22
26779,105 ALJUNIED CRES Singapore,1.31968,103.88292,3,11,0,2,0,4,0,0,0,1,4,12,10,28
26788,124 GEYLANG EAST AVE 1 Singapore,1.3182,103.88688,3,10,1,3,0,3,0,0,0,0,4,14,12,34
26803,53 PIPIT RD Singapore,1.32414,103.88683,3,11,0,2,0,1,0,0,0,1,4,12,5,31
26816,681 HOUGANG AVE 8 Singapore,1.3731799999999998,103.88554,8,22,0,2,1,1,0,1,0,0,1,2,7,19
26825,1 HOUGANG AVE 3 Singapore,1.36335,103.89415,4,17,1,1,0,2,0,0,0,1,0,3,4,13
26842,243 HOUGANG ST 22 Singapore,1.35763,103.89149,2,13,0,1,0,2,0,0,0,1,2,2,5,12
26844,684 HOUGANG AVE 8 Singapore,1.37424,103.88694,8,22,0,2,1,1,0,1,0,0,1,2,7,20
26852,620 HOUGANG AVE 8 Singapore,1.37007,103.88352,9,20,0,1,1,1,1,1,0,0,1,5,4,18
26864,113 HOUGANG AVE 1 Singapore,1.35378,103.88864,6,10,0,2,1,2,0,0,1,1,2,2,4,15
26879,102 HOUGANG AVE 1 Singapore,1.35511,103.89094,6,10,0,1,1,1,0,0,1,1,2,2,5,12
26886,241 HOUGANG ST 22 Singapore,1.35694,103.89161,4,13,0,1,1,2,0,0,1,1,2,2,5,12
26899,658 HOUGANG AVE 8 Singapore,1.37359,103.88246,9,20,0,2,1,1,1,1,0,0,1,2,6,18
26909,112 HOUGANG AVE 1 Singapore,1.35461,103.88849,6,11,0,2,1,2,0,0,1,1,2,2,4,14
26917,142 LOR AH SOO Singapore,1.35321,103.88287,6,15,0,2,1,3,0,0,1,1,2,2,6,15
26929,601 HOUGANG AVE 4 Singapore,1.37061,103.88674,8,20,1,1,1,1,0,1,0,0,1,3,7,20
26939,252 HOUGANG AVE 3 Singapore,1.36034,103.89259,3,16,1,1,0,2,0,0,0,1,2,3,6,13
26955,607 HOUGANG AVE 4 Singapore,1.37041,103.88643,9,20,1,1,1,1,0,1,0,0,1,3,7,20
26962,354 HOUGANG AVE 7 Singapore,1.37264,103.89941,6,19,1,1,0,1,0,0,0,0,0,1,4,12
26972,706 HOUGANG AVE 2 Singapore,1.36578,103.88836,7,20,1,1,1,2,0,1,0,1,1,3,7,17
26978,938 HOUGANG ST 92 Singapore,1.37425,103.87926,7,19,0,1,1,1,1,1,0,0,1,4,8,19
26988,939 HOUGANG ST 92 Singapore,1.37406,103.87926,7,18,0,1,1,1,1,1,0,0,1,4,8,19
26995,541 HOUGANG AVE 8 Singapore,1.37763,103.8917,9,26,0,2,0,1,0,1,0,0,0,1,8,18
27002,101 HOUGANG AVE 1 Singapore,1.35492,103.89113,6,10,0,1,1,1,0,0,1,1,2,2,5,12
27010,626 HOUGANG AVE 8 Singapore,1.3696,103.88189,8,19,0,1,1,1,1,1,0,0,1,5,5,19
27016,925 HOUGANG ST 91 Singapore,1.37699,103.88285,9,23,0,2,1,1,1,1,0,0,1,1,6,20
27027,448 HOUGANG AVE 10 Singapore,1.37898,103.8951,10,26,0,2,0,1,0,0,0,0,0,1,8,19
27034,406 HOUGANG AVE 10 Singapore,1.37384,103.89634,9,21,1,2,0,1,0,0,0,0,0,1,6,15
27040,575 HOUGANG ST 51 Singapore,1.37794,103.88709,9,25,0,2,1,1,0,1,0,0,1,1,7,22
27050,707 HOUGANG AVE 2 Singapore,1.36651,103.889,7,23,1,1,1,2,0,1,0,1,1,3,7,18
27056,444 HOUGANG AVE 8 Singapore,1.37933,103.89382,10,26,0,2,0,1,0,0,0,0,0,1,6,19
27061,167 HOUGANG AVE 1 Singapore,1.35168,103.88831,6,10,0,2,1,2,0,0,1,1,2,2,5,15
27080,421 HOUGANG AVE 10 Singapore,1.37562,103.89461,10,23,1,2,0,1,0,0,0,0,0,1,6,17
27084,452 HOUGANG AVE 10 Singapore,1.37869,103.89604,10,26,0,2,0,1,0,0,0,0,0,1,8,19
27087,981C BUANGKOK CRES Singapore,1.3806,103.8796,5,21,0,1,1,1,1,1,0,0,1,1,4,21
27096,655 HOUGANG AVE 8 Singapore,1.3733,103.88198,9,21,0,2,1,1,1,1,0,0,1,4,6,18
27100,325 HOUGANG AVE 7 Singapore,1.3677700000000002,103.89873,4,15,1,1,0,1,0,0,0,0,0,3,4,15
27109,553 HOUGANG ST 51 Singapore,1.37896,103.89043,7,27,0,2,0,1,0,1,0,0,1,1,8,20
27121,570 HOUGANG ST 51 Singapore,1.3778700000000002,103.88836,9,25,0,2,1,1,0,1,0,0,1,1,6,21
27128,409 HOUGANG AVE 10 Singapore,1.37391,103.89536,9,21,1,2,0,1,0,0,0,0,0,2,5,17
27133,302 HOUGANG AVE 5 Singapore,1.36817,103.89433,5,18,1,1,0,1,0,0,0,0,0,3,4,16
27145,972 HOUGANG ST 91 Singapore,1.37854,103.87925,7,18,0,1,1,1,1,1,0,0,1,1,7,18
27150,639 HOUGANG AVE 8 Singapore,1.3705200000000002,103.8797,6,18,0,1,1,1,1,1,0,0,1,4,6,17
27153,563 HOUGANG ST 51 Singapore,1.38028,103.88896,9,28,1,2,0,1,0,1,0,0,1,1,6,21
27158,698C HOUGANG ST 52 Singapore,1.37559,103.88826,9,23,0,2,1,1,0,1,0,0,1,2,7,21
27161,144 LOR AH SOO Singapore,1.35171,103.88315,5,14,0,1,1,3,0,0,1,1,2,2,6,15
27171,522 HOUGANG AVE 6 Singapore,1.3736700000000002,103.89179,8,24,1,2,1,1,0,1,0,0,1,2,7,18
27187,237 HOUGANG ST 21 Singapore,1.35669,103.88881,6,15,0,1,1,2,0,0,1,1,2,2,5,17
27195,39 TEBAN GDNS RD Singapore,1.32125,103.74286,1,3,0,0,1,1,0,0,0,0,1,1,2,23
27196,415 PANDAN GDNS Singapore,1.32061,103.74818,1,6,0,1,1,1,0,1,0,0,1,4,1,19
27199,253 JURONG EAST ST 24 Singapore,1.34356,103.737,6,14,0,0,0,0,0,0,0,0,2,3,6,21
27216,341 JURONG EAST AVE 1 Singapore,1.3494,103.73135,4,14,0,0,0,0,0,0,0,0,2,4,3,16
27229,250 JURONG EAST ST 24 Singapore,1.34283,103.73997,6,13,0,0,0,0,0,0,0,0,2,2,5,24
27243,411 PANDAN GDNS Singapore,1.31892,103.74701,1,6,0,1,1,1,0,1,0,0,1,3,1,18
27257,101 JURONG EAST ST 13 Singapore,1.33676,103.73888,3,11,0,0,0,0,0,0,0,0,1,4,9,23
27273,251 JURONG EAST ST 24 Singapore,1.34299,103.73965,6,13,0,0,0,0,0,0,0,0,2,2,6,22
27279,402 PANDAN GDNS Singapore,1.32093,103.74953,1,6,0,1,1,1,0,1,0,0,1,4,1,21
27290,217 JURONG EAST ST 21 Singapore,1.3398,103.73804,3,13,0,0,0,0,0,0,0,0,2,3,10,24
27297,316 JURONG EAST ST 32 Singapore,1.34626,103.73222,4,14,0,0,0,0,0,0,0,0,2,4,4,23
27305,207 JURONG EAST ST 21 Singapore,1.33824,103.74235,3,10,0,0,0,0,0,0,0,0,1,3,10,24
27313,331 JURONG EAST AVE 1 Singapore,1.35068,103.73024,5,14,0,0,0,0,0,0,0,0,1,3,3,13
27322,226 JURONG EAST ST 21 Singapore,1.34145,103.73609,5,14,0,0,0,0,0,0,0,0,2,3,6,23
27329,212 JURONG EAST ST 21 Singapore,1.33923,103.73987,3,11,0,0,0,0,0,0,0,0,1,2,11,21
27331,219A JURONG EAST ST 21 Singapore,1.34082,103.73754,5,14,0,0,0,0,0,0,0,0,2,3,9,23
27339,990B JURONG WEST ST 93 Singapore,1.33507,103.69478,5,11,0,1,0,1,0,0,0,1,1,1,4,11
27348,121 YUAN CHING RD Singapore,1.3358,103.7246,3,14,0,1,0,1,0,0,0,1,1,5,2,20
27375,122 YUAN CHING RD Singapore,1.3361299999999998,103.72377,3,13,0,1,0,1,0,0,0,1,1,5,2,22
27398,211 BOON LAY PL Singapore,1.34883,103.71388,7,17,1,1,1,1,0,0,1,1,2,3,4,13
27448,490 JURONG WEST AVE 1 Singapore,1.34941,103.72721,6,15,0,0,0,0,0,0,0,0,2,5,4,16
27456,501 JURONG WEST ST 51 Singapore,1.34973,103.71907,7,13,0,1,0,1,0,0,0,1,2,4,6,13
27462,492 JURONG WEST ST 41 Singapore,1.35002,103.72442,8,15,0,1,0,1,0,0,0,1,2,5,6,11
27472,487 JURONG WEST AVE 1 Singapore,1.34855,103.72722,7,15,0,0,0,0,0,0,0,0,2,5,4,16
27477,527 JURONG WEST ST 52 Singapore,1.34766,103.71638,7,16,1,1,1,1,0,0,1,1,2,4,6,13
27497,424 JURONG WEST AVE 1 Singapore,1.35111,103.7247,7,14,0,1,0,1,0,0,0,1,2,5,5,10
27500,925 JURONG WEST ST 92 Singapore,1.3404,103.68889,3,10,0,0,0,0,0,0,0,0,1,1,3,12
27521,521 JURONG WEST ST 52 Singapore,1.34684,103.7173,8,15,1,1,1,1,0,0,1,1,2,4,6,13
27533,338B KANG CHING RD Singapore,1.33805,103.72201,3,13,0,1,0,1,0,0,0,1,1,5,2,18
27552,511 JURONG WEST ST 52 Singapore,1.3480299999999998,103.71967,7,12,0,1,0,1,0,0,0,1,2,4,6,13
27563,339D KANG CHING RD Singapore,1.33894,103.72197,5,13,0,1,0,1,0,0,0,1,1,5,2,16
27583,433 JURONG WEST ST 42 Singapore,1.35259,103.72298,6,12,0,1,0,1,0,0,0,1,1,5,5,9
27591,824 JURONG WEST ST 81 Singapore,1.34621,103.69409,6,13,0,1,0,1,0,0,0,1,1,1,4,11
27607,945 JURONG WEST ST 91 Singapore,1.34426,103.68996,4,11,0,0,0,0,0,0,0,0,1,1,3,11
27617,746 JURONG WEST ST 73 Singapore,1.34728,103.69789,6,14,0,1,0,1,0,0,0,1,1,2,4,11
27622,961 JURONG WEST ST 92 Singapore,1.34144,103.69194,6,12,0,1,0,1,0,0,0,1,1,1,3,11
27623,838 JURONG WEST ST 81 Singapore,1.34372,103.69347,8,13,0,1,0,1,0,0,0,1,1,1,3,11
27630,557 JURONG WEST ST 42 Singapore,1.35379,103.7186,4,13,0,1,0,1,0,0,0,1,1,3,5,8
27639,751 JURONG WEST ST 73 Singapore,1.34774,103.69922,7,14,0,1,0,1,0,0,0,1,1,2,3,12
27645,180 YUNG SHENG RD Singapore,1.33373,103.72101,3,10,0,1,0,1,0,0,0,1,1,4,2,19
27661,839 JURONG WEST ST 81 Singapore,1.34374,103.69263,7,13,0,1,0,1,0,0,0,1,1,1,4,11
27664,730 JURONG WEST ST 72 Singapore,1.34622,103.69819,6,14,0,1,0,1,0,0,0,1,1,2,4,11
27669,854 JURONG WEST ST 81 Singapore,1.34758,103.69615,6,14,0,1,0,1,0,0,0,1,1,2,4,12
27685,980 JURONG WEST ST 93 Singapore,1.33939,103.69366,7,12,0,1,0,1,0,0,0,1,1,1,3,11
27691,706 JURONG WEST ST 71 Singapore,1.34159,103.69442,9,13,0,1,0,1,0,0,0,1,1,1,4,11
27698,667C JURONG WEST ST 65 Singapore,1.34099,103.70252,7,16,1,1,1,1,0,0,1,1,1,2,6,13
27707,541 JURONG WEST AVE 1 Singapore,1.3513,103.71595,6,16,0,1,0,1,0,0,0,1,2,4,6,13
27714,520 JURONG WEST ST 52 Singapore,1.34578,103.71795,8,15,0,1,0,1,0,0,0,1,2,4,6,13
27726,323 TAH CHING RD Singapore,1.33669,103.72388,3,13,0,1,0,1,0,0,0,1,1,5,2,23
27728,649B JURONG WEST ST 61 Singapore,1.33824,103.69848,5,14,0,1,0,1,0,0,0,1,1,2,7,12
27737,649A JURONG WEST ST 61 Singapore,1.33788,103.69722,5,14,0,1,0,1,0,0,0,1,1,2,5,12
27746,476 JURONG WEST ST 41 Singapore,1.34792,103.72417,7,17,0,1,0,1,0,0,0,1,2,5,5,12
27755,351 CORPORATION DR Singapore,1.33932,103.71997,6,14,0,1,0,1,0,0,0,1,1,4,2,14
27765,644 JURONG WEST ST 61 Singapore,1.33957,103.69603,9,14,0,1,0,1,0,0,0,1,1,2,4,12
27776,663A JURONG WEST ST 65 Singapore,1.33904,103.70185,7,15,1,1,1,1,0,0,1,1,1,2,6,11
27795,518 JURONG WEST ST 52 Singapore,1.3453,103.71819,8,15,0,1,0,1,0,0,0,1,2,4,6,13
27823,271C JURONG WEST ST 24 Singapore,1.35033,103.70425,6,14,1,1,1,1,0,0,1,1,0,3,2,11
27834,276C JURONG WEST ST 25 Singapore,1.35348,103.70324,3,11,0,1,0,1,0,0,0,1,0,3,2,11
27848,552 JURONG WEST ST 42 Singapore,1.35307,103.71796,4,13,0,1,0,1,0,0,0,1,1,3,6,10
27860,461 JURONG WEST ST 41 Singapore,1.34973,103.72074,7,12,0,1,0,1,0,0,0,1,1,4,6,12
27868,819 JURONG WEST ST 81 Singapore,1.34568,103.69521,6,13,0,1,0,1,0,0,0,1,1,2,4,12
27872,902 JURONG WEST ST 91 Singapore,1.33932,103.68647,3,10,0,0,0,0,0,0,0,0,0,1,2,9
27878,267 BOON LAY DR Singapore,1.34647,103.70678,7,17,1,1,1,1,0,0,1,1,1,3,6,15
27883,676B JURONG WEST ST 64 Singapore,1.34654,103.70446,6,16,1,1,1,1,0,0,1,1,2,3,7,13
27911,677A JURONG WEST ST 64 Singapore,1.3459,103.7048,8,17,1,1,1,1,0,0,1,1,2,3,7,13
27928,337C TAH CHING RD Singapore,1.33691,103.72197,3,13,0,1,0,1,0,0,0,1,1,5,2,22
27939,337D TAH CHING RD Singapore,1.33728,103.72136,3,13,0,1,0,1,0,0,0,1,1,5,2,19
27955,653A JURONG WEST ST 61 Singapore,1.33694,103.69685,5,14,0,1,0,1,0,0,0,1,1,1,5,11
27972,678A JURONG WEST ST 64 Singapore,1.34493,103.70439,6,17,1,1,1,1,0,0,1,1,2,3,7,13
27990,401 JURONG WEST ST 42 Singapore,1.35369,103.72119,6,12,0,1,0,1,0,0,0,1,1,3,5,7
27996,639 JURONG WEST ST 61 Singapore,1.34081,103.69698,7,14,0,1,0,1,0,0,0,1,1,2,6,12
28001,986A JURONG WEST ST 93 Singapore,1.33709,103.69494,8,12,0,1,0,1,0,0,0,1,1,1,4,11
28008,624 JURONG WEST ST 61 Singapore,1.34104,103.69761,7,14,0,1,0,1,0,0,0,1,1,2,8,12
28023,987A JURONG WEST ST 93 Singapore,1.33653,103.69429,6,11,0,1,0,1,0,0,0,1,1,1,4,11
28038,408 JURONG WEST ST 42 Singapore,1.3546,103.72291,5,12,0,1,0,1,0,0,0,1,1,3,5,9
28049,656A JURONG WEST ST 61 Singapore,1.3354700000000002,103.69911,4,13,0,1,0,1,0,0,0,1,1,2,6,11
28063,409 JURONG WEST ST 42 Singapore,1.35395,103.72522,5,13,0,0,0,0,0,0,0,0,1,4,4,9
28071,405 JURONG WEST ST 42 Singapore,1.35438,103.72167,6,12,0,1,0,1,0,0,0,1,1,3,5,9
28080,407 JURONG WEST ST 42 Singapore,1.35455,103.72155,5,12,0,1,0,1,0,0,0,1,1,3,5,9
28088,669B JURONG WEST ST 64 Singapore,1.34311,103.70292,7,16,1,1,1,1,0,0,1,1,1,3,6,12
28095,613 JURONG WEST ST 62 Singapore,1.34017,103.70055,6,15,0,1,0,1,0,0,0,1,1,2,7,12
28105,681A JURONG WEST CTRL 1 Singapore,1.34449,103.70502,7,17,1,1,1,1,0,0,1,1,2,3,7,14
28111,63 KALLANG BAHRU Singapore,1.32112,103.8688,2,12,0,2,0,1,0,0,0,1,3,9,3,31
28120,77 LOR LIMAU Singapore,1.32506,103.855,3,14,1,2,0,1,0,0,0,0,2,12,8,31
28143,98 WHAMPOA DR Singapore,1.32167,103.854,3,13,1,2,0,1,0,0,0,0,3,12,6,32
28170,43 BENDEMEER RD Singapore,1.32105,103.8661,3,12,1,2,0,1,0,0,0,1,3,10,4,29
28199,5 JLN BATU Singapore,1.3020200000000002,103.88321,3,8,2,3,2,4,1,1,1,1,3,5,2,19
28207,30 BENDEMEER RD Singapore,1.31947,103.86397,4,10,1,2,0,1,0,0,0,1,3,11,5,28
28218,1 KG KAYU RD Singapore,1.30341,103.88371,4,8,3,3,2,4,1,1,1,1,3,7,2,22
28226,8 ST. GEORGE'S LANE Singapore,1.32319,103.86003,4,11,1,2,0,1,0,0,0,1,3,12,5,32
