,HERE_address,Latitude,Longitude,schs_1km,schs_2km,sap_sch_1km,sap_sch_2km,autonomous_sch_1km,autonomous_sch_2km,gifted_sch_1km,gifted_sch_2km,ip_sch_1km,ip_sch_2km,hawker_1km,hawker_2km,supermarket_1km,supermarket_2km
673,253A ANG MO KIO ST 21 Singapore,1.36973,103.83427,6,13,1,2,1,2,0,0,1,1,4,7,5,12
676,439 ANG MO KIO AVE 10 Singapore,1.36636,103.85394,5,16,0,1,1,2,0,1,0,1,4,10,6,17
683,306 ANG MO KIO AVE 1 Singapore,1.3657700000000002,103.84541,4,16,0,3,0,3,0,1,0,2,4,11,9,19
689,729 ANG MO KIO AVE 6 Singapore,1.37286,103.84583,6,15,0,2,1,2,0,0,0,1,5,10,7,15
694,315B ANG MO KIO ST 31 Singapore,1.36432,103.84753,4,18,0,3,0,3,0,1,0,2,5,10,8,19
702,700C ANG MO KIO AVE 6 Singapore,1.36933,103.84659,6,17,0,3,1,3,0,1,0,2,5,10,8,15
714,620 BEDOK RESERVOIR RD Singapore,1.33401,103.91791,3,13,0,2,0,0,0,0,0,0,2,5,7,18
746,38 BEDOK STH RD Singapore,1.32114,103.93877,5,16,0,2,0,4,0,1,1,2,3,9,6,24
751,504 BEDOK NTH ST 3 Singapore,1.33216,103.93232,5,18,1,2,0,2,0,1,0,1,5,7,9,25
772,545 BEDOK NTH ST 3 Singapore,1.33033,103.9243,5,15,0,2,0,1,0,0,0,1,3,8,12,23
795,546 BEDOK NTH ST 3 Singapore,1.33061,103.92564,5,16,0,2,0,2,0,0,0,1,4,8,12,24
807,18 BEDOK STH RD Singapore,1.31992,103.93476,3,18,0,2,0,4,0,1,1,2,4,8,8,24
830,550 BEDOK NTH AVE 1 Singapore,1.3323,103.92651,7,17,1,2,0,2,0,0,0,1,4,8,9,24
852,502 BEDOK NTH ST 3 Singapore,1.33192,103.9311,5,17,1,2,0,2,0,0,0,1,5,8,9,26
879,509 BEDOK NTH ST 3 Singapore,1.33346,103.93112,5,19,1,2,0,2,0,1,0,1,5,8,9,25
886,525 BEDOK NTH ST 3 Singapore,1.3344,103.92917,6,19,1,2,0,2,0,1,0,1,3,8,7,24
919,534 BEDOK NTH ST 3 Singapore,1.33334,103.92448,5,16,0,2,0,2,0,0,0,0,2,8,6,22
947,542 BEDOK NTH ST 3 Singapore,1.33101,103.92321,4,13,0,1,0,0,0,0,0,1,2,8,11,22
961,76 BEDOK NTH RD Singapore,1.32816,103.94141,8,17,2,2,2,3,0,0,0,1,3,9,6,20
981,709 BEDOK RESERVOIR RD Singapore,1.33561,103.9228,3,11,0,1,0,0,0,0,0,0,3,6,6,21
1002,703 BEDOK RESERVOIR RD Singapore,1.33705,103.91953,2,9,0,1,0,0,0,0,0,0,2,5,6,18
1014,27 NEW UPP CHANGI RD Singapore,1.3239,103.93433,4,20,0,2,0,4,0,1,1,2,4,8,7,23
1033,42 CHAI CHEE ST Singapore,1.32771,103.92579,5,16,0,2,0,2,0,0,0,1,4,8,10,24
1056,426 BEDOK NTH RD Singapore,1.32973,103.9284,6,17,1,2,0,2,0,0,0,1,4,8,11,24
1073,530 BEDOK NTH ST 3 Singapore,1.334,103.92679,6,17,1,2,0,2,0,0,0,1,2,8,5,24
1101,420 BEDOK NTH ST 1 Singapore,1.32805,103.929,5,16,1,2,0,2,0,0,0,1,4,8,11,25
1122,105 BEDOK NTH AVE 4 Singapore,1.33408,103.93724,7,23,2,2,2,2,0,1,0,1,3,8,4,24
1136,519 BEDOK NTH AVE 1 Singapore,1.33107,103.92798,7,17,1,2,0,2,0,0,0,1,4,8,11,21
1155,548 BEDOK NTH AVE 1 Singapore,1.33107,103.92705,7,16,1,2,0,2,0,0,0,1,4,8,12,22
1168,537 BEDOK NTH ST 3 Singapore,1.33197,103.92392,5,15,0,2,0,1,0,0,0,1,2,8,10,22
1174,28 NEW UPP CHANGI RD Singapore,1.32362,103.93437,4,20,0,2,0,4,0,1,1,2,4,8,7,23
1205,100 BEDOK NTH AVE 4 Singapore,1.33416,103.93813,7,23,2,2,2,2,0,1,0,1,3,8,5,24
1220,103 BEDOK RESERVOIR RD Singapore,1.32893,103.90959,4,8,1,1,0,0,0,0,0,0,1,4,4,20
1237,522 BEDOK NTH AVE 1 Singapore,1.33085,103.92692,7,16,1,2,0,2,0,0,0,1,4,8,12,22
1254,551 BEDOK NTH AVE 1 Singapore,1.33229,103.92685,7,17,1,2,0,2,0,0,0,1,4,8,9,23
1258,608 BEDOK RESERVOIR RD Singapore,1.33176,103.91371,3,9,0,1,0,0,0,0,0,0,1,4,4,18
1267,135 BEDOK NTH ST 2 Singapore,1.32854,103.9365,10,18,2,2,2,3,0,0,0,1,6,7,10,23
1275,40 CHAI CHEE AVE Singapore,1.32602,103.92632,3,18,0,2,0,3,0,1,0,2,4,8,10,25
1290,57 NEW UPP CHANGI RD Singapore,1.32424,103.94173,6,14,1,2,1,3,0,0,1,1,4,7,8,17
