,line,station_name,year_opened,is_interchange
124,CE,MRT-MARINA BAY ,2012-01,1
125,NE,MRT-HARBOURFRONT ,2003-06,1
126,NE,MRT-OUTRAM PARK ,2003-06,1
127,NE,MRT-CHINATOWN ,2003-06,1
128,NE,MRT-CLARKE QUAY ,2003-06,0
129,NE,MRT-DHOBY GHAUT ,2003-06,1
130,NE,MRT-LITTLE INDIA ,2003-06,1
131,NE,MRT-FARRER PARK ,2003-06,0
132,NE,MRT-BOON KENG ,2003-06,0
133,NE,MRT-POTONG PASIR ,2003-06,0
134,NE,MRT-WOODLEIGH ,2011-06,0
135,NE,MRT-SERANGOON ,2003-06,1
136,NE,MRT-KOVAN ,2003-06,0
137,NE,MRT-HOUGANG ,2003-06,0
138,NE,MRT-BUANGKOK ,2006-01,0
139,NE,MRT-SENGKANG ,2003-06,0
140,NE,MRT-PUNGGOL ,2003-06,0
