,supermarket_name,supermarket_latitude,supermarket_longitude
81,SHENG SIONG SUPERMARKET PTE LTD,1.30246409193291,103.763750974319
82,PRIME SUPERMARKET LIMITED,1.3083652684116,103.860912787999
83,PRIME SUPERMARKET LIMITED,1.34873284070164,103.934010241001
84,COLD STORAGE SINGAPORE (1983) PTE LTD,1.34922418771454,103.934912522809
85,COLD STORAGE SINGAPORE (1983) PTE LTD,1.43600783793646,103.785688733844
86,COLD STORAGE SINGAPORE (1983) PTE LTD,1.43084006633623,103.793416332651
87,LIN POH LING,1.34064293307986,103.854334496723
88,COLD STORAGE SINGAPORE (1983) PTE LTD,1.35067551423916,103.871861623795
89,COLD STORAGE SINGAPORE (1983) PTE LTD,1.30014248326866,103.855786976518
90,NAWAS GLOBAL PTE. LTD.,1.27164226263376,103.633512282372
91,SADIA MINIMART PTE LTD,1.40852996570468,103.759406170784
92,MEIDI-YA SINGAPORE CO (PTE) LTD,1.29151478613339,103.844586298874
93,IROHA INTERNATIONAL PTE. LTD.,1.30074756196423,103.845047628503
94,COLD STORAGE SINGAPORE (1983) PTE LTD,1.29225958853816,103.842561031003
95,LITTLE FARMS PTE. LTD.,1.29301786111443,103.826940812301
96,SHENG SIONG SUPERMARKET PTE LTD,1.32213636288701,103.738292804658
97,PHAN NEE INVESTMENTS (S) PTE LTD,1.37761083897742,103.718403752899
98,COLD STORAGE SINGAPORE (1983) PTE LTD,1.33177581668164,103.946201244496
99,RAW MARKET PTE. LTD.,1.37558830763911,103.960839727952
100,THE BUTCHER (SINGAPORE) PTE. LTD.,1.3119219563809,103.796844046992
101,HAO MART PTE. LTD.,1.43359514246154,103.839685380422
102,SEOUL BUTCHERY PTE. LTD.,1.34207496300068,103.774632799754
103,V SURESH KUMAR,1.45982817398421,103.820073449022
104,COLD STORAGE SINGAPORE (1983) PTE LTD,1.33899462247146,103.793133813234
105,HAO MART PTE. LTD.,1.31317509715873,103.883646674404
106,COLD STORAGE SINGAPORE (1983) PTE LTD,1.30372322367268,103.835240311923
107,COLD STORAGE SINGAPORE (1983) PTE LTD,1.27737236043423,103.852844804264
108,COLD STORAGE SINGAPORE (1983) PTE LTD,1.30074756196423,103.845047628503
109,COLD STORAGE SINGAPORE (1983) PTE LTD,1.29380236091495,103.831757911005
110,POPULAR SUPERMARKET PTE LTD,1.27030978388319,103.634163915466
111,SADIA SUPERMARKET & TRADING (S) PTE. LTD.,1.27030978388319,103.634163915466
112,COLD STORAGE SINGAPORE (1983) PTE LTD,1.24775861864545,103.841921096861
113,COLD STORAGE SINGAPORE (1983) PTE LTD,1.31943617521461,103.82734585139
114,COLD STORAGE SINGAPORE (1983) PTE LTD,1.38529556248789,103.766170532015
115,COLD STORAGE SINGAPORE (1983) PTE LTD,1.34962234403109,103.849881701299
116,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33166183429417,103.850483008706
117,NTUC FAIRPRICE CO-OPERATIVE LTD,1.36032331726566,103.953125974103
118,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34837104824236,103.948128932393
119,NTUC FAIRPRICE CO-OPERATIVE LTD,1.39219777362583,103.90447160757
120,NTUC FAIRPRICE CO-OPERATIVE LTD,1.38493201671183,103.901558027563
121,NTUC FAIRPRICE CO-OPERATIVE LTD,1.35466901882051,103.830919788426
122,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33296549379038,103.847050353797
123,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32397688357175,103.910689656957
124,NTUC FAIRPRICE CO-OPERATIVE LTD,1.35722282377111,103.843785259758
125,NTUC FAIRPRICE CO-OPERATIVE LTD,1.37976753619581,103.936207570696
126,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31553964712804,103.898764898642
127,NTUC FAIRPRICE CO-OPERATIVE LTD,1.30782737247273,103.884763855717
128,NTUC FAIRPRICE CO-OPERATIVE LTD,1.35437073798267,103.985169647877
129,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32118979604503,103.903266275569
130,NTUC FAIRPRICE CO-OPERATIVE LTD,1.35067551423916,103.871861623795
131,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33233467983413,103.938051292004
132,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31414996835354,103.888544913634
133,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3343251542009,103.962389306789
134,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33491977399192,103.963653907777
135,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32477207902253,103.929267657363
136,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32424554991112,103.9415687075
137,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3551909440899,103.988750977656
138,NTUC FAIRPRICE CO-OPERATIVE LTD,1.30385030848158,103.902850380057
139,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33253590792541,103.867036838441
140,NTUC FAIRPRICE CO-OPERATIVE LTD,1.30384327849927,103.872750707738
141,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34270618915228,103.953024500232
142,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33177055027825,103.879294502591
143,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33653867658135,103.888762709438
144,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31886941200841,103.894731355106
145,JMD RETAIL PTE. LTD.,1.3041644719774,103.896327021939
146,NTUC FAIRPRICE CO-OPERATIVE LTD,1.28112227851946,103.8100313205
147,COLD STORAGE SINGAPORE (1983) PTE LTD,1.26389581950121,103.821589250415
148,NTUC FAIRPRICE CO-OPERATIVE LTD,1.30476357340306,103.781697201377
149,NTUC FAIRPRICE CO-OPERATIVE LTD,1.38003057765068,103.75311841662
150,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33931503939035,103.705351000578
