,carpark_name,carpark_latitude,carpark_longitude
78,BLK 729/730 ANG MO KIO AVE 6/8,1.3736385362921213,103.84666686250286
79,BLK 725/730 ANG MO KIO AVE 8,1.3726986757337083,103.84714621818347
80,BLK 720/723 ANG MO KIO AVE 8,1.3720196104757458,103.84696416467077
81,BLK 721/722 ANG MO KIO AVE 8,1.3723470075573287,103.84772411430896
82,BLK 547/551 ANG MO KIO ST 54,1.3738962214127284,103.85813978410131
83,BLK 540/546 ANG MO KIO ST 54,1.3744644954379803,103.85591341875072
84,BLK 520/534/529 ANG MO KIO AVE 5/10,1.3741704461236162,103.85216001547201
85,BLK 501/513/508 ANG MO KIO ST 52/53,1.3752171305295189,103.84939908200668
86,BLK 584/586 ANG MO KIO ST 51,1.3705065846109226,103.85347351727188
87,BLK 558/560 ANG MO KIO STREET 54,1.371029158960113,103.85941720762483
88,BLK 601/604/603 ANG MO KIO AVE 5,1.3805449309084086,103.83566062297832
89,BLK 605/612 ANG MO KIO AVE 4/5,1.3796863244461326,103.83780488938889
90,BLK 620/624/626 ANG MO KIO ST 61,1.381897618566015,103.83985421482735
91,BLK 623/625/627 ANG MO KIO ST 61,1.3816414579421694,103.841945435749
92,BLK 212/213 ANG MO KIO STREET 23,1.3683924870216897,103.8413017543888
93,BLK 629/626 ANG MO KIO AVE 4,1.3806206411419468,103.84010720676366
94,BLK 628/632 ANG MO KIO ST 61,1.3800090936953118,103.84074189671782
95,BLK 633/640 ANG MO KIO ST 61,1.3807609626573356,103.84353033817386
96,BLK 641/645 ANG MO KIO ST 61,1.378848189137784,103.84082469669613
97,BLK 646/649 ANG MO KIO ST 61,1.3786516802837327,103.84380466372671
98,BLK 177/182 ANG MO KIO AVE 4,1.376202178062335,103.83868455774709
99,BLK 613A ANG MO KIO AVENUE 4,1.377977111891698,103.83883480497552
100,BLK 150/156 ANG MO KIO AVE 5,1.3763531493527348,103.83997857029884
101,BLK 157/163 ANG MO KIO AVE 4,1.3746947111453895,103.83838679093355
102,BLK 209/210 ANG MO KIO STREET 22,1.3687560709932327,103.843307711467
103,BLK 170/172 ANG MO KIO ST 13,1.3743555525255577,103.83647879468089
104,BLK 173/176 ANG MO KIO AVE 4,1.375674922394817,103.83639865272272
105,BLK 5022 TO 5095 ANG MO KIO IND PARK 2,1.3743075596364922,103.8606965409111
106,BLK 340 ANG MO KIO ST 32,1.36510737794777,103.84970936855984
107,BLK 4001-4003/4026-4028/4033-4035 ANG MO KIO IND PARK 1,1.3618848908307486,103.85652048735037
108,BLK 462/463 ANG MO KIO ST 44,1.3668263587464071,103.8578842373729
109,BLK 348 ANG MO KIO AVE 3,1.3662807156719157,103.84726652678984
110,BLK 101/102 ANG MO KIO ST 11,1.3704591830451673,103.8393678459084
111,BLK 202/203 ANG MO KIO STREET 22,1.3680743699781341,103.8443921978058
112,BLK 625/627 ANG MO KIO ST 61,1.3820006892151129,103.84124722457139
113,BLK 104C ANG MO KIO STREET 11,1.3718598268833135,103.8383159614014
114,BLK 323A ANG MO KIO AVENUE 3,1.3675186280077751,103.84780380928078
115,BLK 259 ANG MO KIO AVE 2,1.369164310596369,103.83185420964786
116,BLK 181 ANG MO KIO AVE 5,1.3769852572551429,103.83721389196872
117,BLK 232 BRAS BASAH BASEMENT CAR PARK,1.2965800277256125,103.85366320640063
118,BLK 188A BUKIT BATOK WEST AVE 6,1.3464366536863828,103.74538227425053
119,BLK 628A BUKIT BATOK CENTRAL,1.3508670707092765,103.74988224837884
120,BLK 289H BUKIT BATOK STREET 25,1.344506283225649,103.75991777083962
121,BLK 288H BUKIT BATOK STREET 25,1.3455506982843084,103.76017896379179
122,BLK 290H BUKIT BATOK STREET 24,1.3432428850770275,103.75793361152421
123,BLK 291F BUKIT BATOK STREET 24,1.3428596521147578,103.75505234518015
124,BLK 154A BUKIT BATOK WEST AVE 8,1.3473553282589252,103.74369552196029
125,BLK 622A BUKIT BATOK CENTRAL,1.3499692848447977,103.74851052070392
126,BLK 395A BUKIT BATOK WEST AVE 5,1.3658306352822907,103.75177182867174
127,BLKS 168-180 BISHAN STREET 13,1.3477410368330691,103.8532954079855
