,Address,Latitude,Longitude
88,ORCHARD  MRT STATION SINGAPORE,1.3040084,103.831781
89,SOMERSET  MRT STATION SINGAPORE,1.3004441,103.8384389
90,DHOBY GHAUT  MRT STATION SINGAPORE,1.2990936,103.8457886
91,CITY HALL  MRT STATION SINGAPORE,1.293076,103.8520677
92,RAFFLES PLACE  MRT STATION SINGAPORE,1.2839687,103.8515395
93,MARINA BAY  MRT STATION SINGAPORE,1.2765211,103.8547012
94,MARINA SOUTH PIER  MRT STATION SINGAPORE,1.2714087,103.863631
95,HARBOURFRONT  MRT STATION SINGAPORE,1.2656038,103.8208568
96,TELOK BLANGAH  MRT STATION SINGAPORE,1.2707152,103.809878
97,LABRADOR PARK  MRT STATION SINGAPORE,1.2721259,103.8025575
98,PASIR PANJANG  MRT STATION SINGAPORE,1.2760684,103.7919037
99,HAW PAR VILLA  MRT STATION SINGAPORE,1.283106,103.7819799
100,KENT RIDGE  MRT STATION SINGAPORE,1.2935861,103.7844513
101,ONE-NORTH  MRT STATION SINGAPORE,1.2998113,103.7875947
102,BUONA VISTA  MRT STATION SINGAPORE,1.3072937,103.7900463
103,HOLLAND VILLAGE  MRT STATION SINGAPORE,1.3111457,103.7961408
104,FARRER ROAD  MRT STATION SINGAPORE,1.3175741,103.807711
105,BOTANIC GARDENS  MRT STATION SINGAPORE,1.3223117,103.8149268
106,CALDECOTT  MRT STATION SINGAPORE,1.3375953,103.8396058
107,MARYMOUNT  MRT STATION SINGAPORE,1.3490142,103.8390947
108,BISHAN  MRT STATION SINGAPORE,1.3508449,103.8481737
109,LORONG CHUAN  MRT STATION SINGAPORE,1.3514978,103.8649467
110,SERANGOON  MRT STATION SINGAPORE,1.3497872,103.8736348
111,BARTLEY  MRT STATION SINGAPORE,1.3428695,103.8796386
112,TAI SENG  MRT STATION SINGAPORE,1.3358756,103.8877164
113,MACPHERSON  MRT STATION SINGAPORE,1.3267049,103.8898898
114,PAYA LEBAR  MRT STATION SINGAPORE,1.3181607,103.8931436
115,DAKOTA  MRT STATION SINGAPORE,1.30841,103.888814
116,MOUNTBATTEN  MRT STATION SINGAPORE,1.3060844,103.8831531
117,STADIUM  MRT STATION SINGAPORE,1.3027829,103.8754063
118,NICOLL HIGHWAY  MRT STATION SINGAPORE,1.3002063,103.8634707
119,PROMENADE  MRT STATION SINGAPORE,1.2939988,103.8601773
120,ESPLANADE  MRT STATION SINGAPORE,1.2939413,103.8553744
121,BRAS BASAH  MRT STATION SINGAPORE,1.2969461,103.8507366
122,DHOBY GHAUT  MRT STATION SINGAPORE,1.2990936,103.8457886
123,BAYFRONT  MRT STATION SINGAPORE,1.2813386,103.8589551
124,MARINA BAY  MRT STATION SINGAPORE,1.2765211,103.8547012
