,line,station_name,year_opened,is_interchange,Latitude,Longitude
66,EW,TUAS CRESCENT  MRT STATION SINGAPORE,2017-06,0,1.3210266000000002,103.6490755
67,EW,TUAS WEST ROAD  MRT STATION SINGAPORE,2017-06,0,1.3299891000000001,103.63961409999999
68,EW,TUAS LINK  MRT STATION SINGAPORE,2017-06,0,1.3403171,103.6368663
69,NS,JURONG EAST  MRT STATION SINGAPORE,1990-03,1,1.3331427,103.7423293
70,NS,BUKIT BATOK  MRT STATION SINGAPORE,1990-03,0,1.3490636,103.74958829999998
71,NS,BUKIT GOMBAK  MRT STATION SINGAPORE,1990-03,0,1.3590368999999998,103.75182779999999
72,NS,CHOA CHU KANG  MRT STATION SINGAPORE,1990-03,0,1.3853846,103.7443373
73,NS,YEW TEE  MRT STATION SINGAPORE,1996-02,0,1.3973289,103.7475018
74,NS,KRANJI  MRT STATION SINGAPORE,1996-02,0,1.4252268,103.7620278
75,NS,MARSILING  MRT STATION SINGAPORE,1996-02,0,1.4325578,103.77416070000001
76,NS,WOODLANDS  MRT STATION SINGAPORE,1996-02,0,1.4369451000000002,103.78651590000001
77,NS,ADMIRALTY  MRT STATION SINGAPORE,1996-02,0,1.440613,103.8009629
78,NS,SEMBAWANG  MRT STATION SINGAPORE,1996-02,0,1.44909,103.820049
79,NS,YISHUN  MRT STATION SINGAPORE,1988-12,0,1.4295483999999998,103.83503320000001
80,NS,KHATIB  MRT STATION SINGAPORE,1988-12,0,1.4173483,103.83297309999999
81,NS,YIO CHU KANG  MRT STATION SINGAPORE,1987-11,0,1.3817217,103.844934
82,NS,ANG MO KIO  MRT STATION SINGAPORE,1987-11,0,1.3699718,103.84958759999999
83,NS,BISHAN  MRT STATION SINGAPORE,1987-11,1,1.3508448999999998,103.8481737
84,NS,BRADDELL  MRT STATION SINGAPORE,1987-11,0,1.3405397,103.8470762
85,NS,TOA PAYOH  MRT STATION SINGAPORE,1987-11,0,1.3323296999999998,103.8474252
86,NS,NOVENA  MRT STATION SINGAPORE,1987-12,0,1.3200247999999999,103.8433833
87,NS,NEWTON  MRT STATION SINGAPORE,1987-12,1,1.3137896999999998,103.8377317
88,NS,ORCHARD  MRT STATION SINGAPORE,1987-12,1,1.3040083999999998,103.831781
89,NS,SOMERSET  MRT STATION SINGAPORE,1987-12,0,1.3004441,103.83843890000001
90,NS,DHOBY GHAUT  MRT STATION SINGAPORE,1987-12,1,1.2990936000000002,103.84578859999999
91,NS,CITY HALL  MRT STATION SINGAPORE,1987-12,1,1.2930760000000001,103.8520677
92,NS,RAFFLES PLACE  MRT STATION SINGAPORE,1987-12,1,1.2839687,103.8515395
93,NS,MARINA BAY  MRT STATION SINGAPORE,1989-12,1,1.2765211,103.8547012
94,NS,MARINA SOUTH PIER  MRT STATION SINGAPORE,2014-11,0,1.2713894,103.8635915
95,CC,HARBOURFRONT  MRT STATION SINGAPORE,2011-10,1,1.2656038,103.8208568
96,CC,TELOK BLANGAH  MRT STATION SINGAPORE,2011-10,0,1.2707152,103.809878
97,CC,LABRADOR PARK  MRT STATION SINGAPORE,2011-10,0,1.2721258999999998,103.80255749999999
98,CC,PASIR PANJANG  MRT STATION SINGAPORE,2011-10,0,1.2760684,103.7919037
99,CC,HAW PAR VILLA  MRT STATION SINGAPORE,2011-10,0,1.2831059999999999,103.78197990000001
100,CC,KENT RIDGE  MRT STATION SINGAPORE,2011-10,0,1.2935861000000002,103.78445129999999
101,CC,ONE-NORTH  MRT STATION SINGAPORE,2011-10,0,1.2998113000000002,103.7875947
102,CC,BUONA VISTA  MRT STATION SINGAPORE,2011-10,1,1.3072937,103.7900463
103,CC,HOLLAND VILLAGE  MRT STATION SINGAPORE,2011-10,0,1.3111457,103.79614079999999
104,CC,FARRER ROAD  MRT STATION SINGAPORE,2011-10,0,1.3175741,103.807711
105,CC,BOTANIC GARDENS  MRT STATION SINGAPORE,2011-10,1,1.3223117,103.8149268
106,CC,CALDECOTT  MRT STATION SINGAPORE,2011-10,0,1.3375953,103.8396058
107,CC,MARYMOUNT  MRT STATION SINGAPORE,2009-05,0,1.3490142,103.8390947
108,CC,BISHAN  MRT STATION SINGAPORE,2009-05,1,1.3508448999999998,103.8481737
109,CC,LORONG CHUAN  MRT STATION SINGAPORE,2009-05,0,1.3514978000000002,103.8649467
110,CC,SERANGOON  MRT STATION SINGAPORE,2009-05,1,1.3497872,103.8736348
111,CC,BARTLEY  MRT STATION SINGAPORE,2009-05,0,1.3428695,103.87963859999999
112,CC,TAI SENG  MRT STATION SINGAPORE,2010-04,0,1.3358756,103.88771640000002
113,CC,MACPHERSON  MRT STATION SINGAPORE,2010-04,1,1.3267049,103.88988979999999
114,CC,PAYA LEBAR  MRT STATION SINGAPORE,2010-04,1,1.3181607,103.8931436
115,CC,DAKOTA  MRT STATION SINGAPORE,2010-04,0,1.30841,103.888814
