,school_name,school_latitude,school_longitude
200,BUKIT PANJANG GOVT. HIGH SCHOOL,1.382108,103.738613
201,DUNMAN SECONDARY SCHOOL,1.36065258559016,103.956213320582
202,JURONG SECONDARY SCHOOL,1.33002032220944,103.723952961648
203,NAVAL BASE SECONDARY SCHOOL,1.41937881620446,103.831050390247
204,OUTRAM SECONDARY SCHOOL,1.28651406161832,103.83712733566
205,YIO CHU KANG SECONDARY SCHOOL,1.37797597740928,103.84213696352
206,YUAN CHING SECONDARY SCHOOL,1.3420063576447,103.72089870437
207,BOON LAY SECONDARY SCHOOL,1.34272269102177,103.701890026285
208,BEDOK VIEW SECONDARY SCHOOL,1.32415704057062,103.943776244752
209,HUA YI SECONDARY SCHOOL,1.35234365488343,103.721832319897
210,DEYI SECONDARY SCHOOL,1.36599702512975,103.852545771335
211,PING YI SECONDARY SCHOOL,1.327016727265,103.920700671715
212,PEICAI SECONDARY SCHOOL,1.35951583249591,103.870010748511
213,PASIR RIS SECONDARY SCHOOL,1.35422732653399,103.948962626204
214,GUANGYANG SECONDARY SCHOOL,1.34440856015541,103.850208933898
215,RIVERSIDE SECONDARY SCHOOL,1.44110157139128,103.78830823641
216,ZHONGHUA SECONDARY SCHOOL,1.34840720846211,103.869430481414
217,SWISS COTTAGE SECONDARY SCHOOL,1.36471742697479,103.750396136688
218,YUSOF ISHAK SECONDARY SCHOOL,1.34233921440626,103.760032628302
219,CHANGKAT CHANGI SECONDARY SCHOOL,1.33950630072878,103.953245525564
220,TECK WHYE SECONDARY SCHOOL,1.3830891794707,103.755330021114
221,DUNEARN SECONDARY SCHOOL,1.36357900792873,103.74472109107
222,NEW TOWN SECONDARY SCHOOL,1.30977590011361,103.77318863421
223,QUEENSTOWN SECONDARY SCHOOL,1.29352126774655,103.813190980055
224,SERANGOON GARDEN SECONDARY SCHOOL,1.3693257049095,103.869270301748
225,TANGLIN SECONDARY SCHOOL,1.30970169234126,103.758158358303
226,TANJONG KATONG SECONDARY SCHOOL,1.30873515818477,103.897225195927
227,WOODLANDS RING SECONDARY SCHOOL,1.43648894729943,103.800148469692
